單字(一)
Expert | 專家 | 名詞
 Expert | 專家的 / 熟練的 | 形容詞
 Expect | 期待 / 預期 | 動詞 
Except | 除了...之外 | 介係詞 
Aspect | 方面 / 層面 | 名詞 
Adapt | 適應 / 改編 | 動詞 
Adopt | 收養 / 採用 | 動詞 
Adept | 熟練的 | 形容詞 
Affect | 影響 | 動詞 
Effect | 效果 / 影響 | 名詞 
Exit | 出口 | 名詞 
Exist | 存在 | 動詞 
Expand | 擴張 / 膨脹 | 動詞
 Expend | 花費 / 消耗 | 動詞
 Extensive | 廣泛的 / 大規模的 | 形容詞 
Extent | 程度 / 範圍 | 名詞
 Expose | 暴露 / 揭露 | 動詞 
Explore | 探索 / 探險 | 動詞
 Explode | 爆炸 | 動詞 
Loose | 鬆的 | 形容詞 
Lose | 失去 / 輸 | 動詞
 Desert | 沙漠 | 名詞
 Dessert | 甜點 | 名詞 
Complement | 補充 / 補足 | 動詞 / 名詞 
Compliment | 稱讚 | 動詞 / 名詞 
Quite | 相當地 / 非常 | 副詞
 Quiet | 安靜的 | 形容詞
 Quit | 停止 / 辭職 | 動詞
 Stationary | 靜止的 / 不動的 | 形容詞 
Stationery | 文具 | 名詞
patience | 耐心、毅力 | n.
 practice | 實行、練習、(醫生/律師)執業 | n. / v. 
pregnant | 懷孕的 | adj. 
figure out | 想出、弄懂、計算出 | phr v. 
debate | 辯論、討論 | n. / v. 
lazy | 懶惰的 | adj. 
sweep | 打掃、清掃 | v. 
permitted | 被允許的 | adj. 
recruiting | 招募、徵才 | n. / v. 
seldom | 很少、不常 | adv. 
by no means | 絕不、一點也不 | adv phr. 
hardly | 幾乎不 | adv. 
scarcely | 幾乎不 | adv. 
on no account | 絕不、絕對不可以 | adv phr. 
not until | 直到...才 | conj phr.
versatile | 多功能的、多才多藝的 | adj. 
precaution | 預防措施、防備 | n. 
incentive | 獎勵、動機、刺激 | n. 
substantial | 大量的、實質的、重大的 | adj. 
unanimously | 全體一致地、無異議地 | adv.
closure | 倒閉、終止、(路面)封閉 | n. 
reliable | 可靠的、可信賴的 | adj. 
deliver | 遞送、發表(演講)、達成(承諾) | v. 
revenue | 營收、稅收 | n. 
steadily | 穩定地、持續地 | adv. 
remarkable | 非凡的、顯著的 | adj.
incredibly | 極其、難以置信地 | adv. 
convey | 傳達、表達、運送 | v. 
legislation | 立法、法規 | n. 
greatest | 最大的、最偉大的 | adj. 
narrow | 狹窄的、縮減、勉強的 | adj. / v. 
pre-existing | 先前存在的、既有的 | adj. 
meanwhile | 與此同時 | adv. 
hence | 因此、由此可知 | adv. 
scholarships | 獎學金 | n. 
enormous | 巨大的、龐大的 | adj. 
anticipated | 預期的、期望中的 | adj. 
organic | 有機的、器官的 | adj. 
voucher | 兌換券、票券、憑證 | n. 
attendee | 出席者、參加者 | n. 
quote | 報價、引用 | n. / v. 
crisis | 危機 | n. 
assume | 假設、承擔(責任)、就任 | v. 
regardless | 無論如何、不管怎樣 | adv. 
leaking | 洩漏、漏出 | v. / adj. 
reward | 報酬、獎勵、酬報 | n. / v.
innovation | 創新、革新 | n. 
scenario | 情況、情境、可能發生的事態 | n. 
stable | 穩定的、牢固的 | adj. 
physical | 身體的、物質的、實體的 | adj. 
amendments | (法律、條款)修正、修訂 | n. 
appearance | 外貌、出現、出席 | n. 
restricted | 受限的、限制的 | adj. 
situated | 位於...的、坐落在...的 | adj. 
intersection | 十字路口、交叉口 | n. 
credentials | 證書、資歷、憑據 | n. 
evaluate | 評估、評價 | v.
talented | 有才華的、天才的 | adj. 
funds | 資金、專款、經費 | n. 
campus | 校園、校區 | n. 
apparently | 顯然地、表面上地 | adv. 
formerly | 以前、從前 | adv. 
exact | 精確的、確切的 | adj. 
take advantage of | 利用、善用 | phr v. 
obstacles | 障礙、阻礙 | n.
flaws | 缺點、瑕疵、缺陷 | n.
contribute | 貢獻、捐助、導致 | v.
intermission | 中場休息、間歇 | n.
please note that | 請注意... | phr.
discourage | 勸阻、使洩氣、阻礙 | v.
tidy | 整潔的、整理 | adj. / v.
affected | 受影響的 | adj.
restore | 恢復、修復 | v.
ignore | 忽略、不理會 | v.
courteous | 有禮貌的、謙恭的 | adj.
polite | 有禮貌的 | adj.
relatively | 相對地、比較而言 | adv.
duration | 持續時間、期間 | n.
treated | 處理、對待 | v. (p.p.)
dangerous | 危險的 | adj.
evacuation | 疏散、撤離 | n.
exercises | 練習、運動、演習 | n.
drill | 演習、訓練 | n. / v.
suspended | 暫停、中止、懸掛 | v. (p.p.)
moisturizing | 保濕的 | adj.
combine | 結合、合併 | v.
performs | 執行、表演、運作 | v.
rumor | 謠言、傳聞 | n.
dramatic | 戲劇性的、顯著的 | adj.
population | 人口、(特定)族群 | n.
eligible | 有資格的、符合條件的 | adj.
tight | 緊的、(預算/時間)吃緊的 | adj.
squeeze | 擠壓、榨取、擠進 | v. / n.
absence | 缺席、缺少 | n.
bride | 新娘 | n.
coworker | 同事、共同工作者 | n.
registration | 登記、註冊、報名 | n.
Academic | 學術的、學院的 | adj.
